district,district_id,state_id
sri muktsar sahib,PB_Sri Muktsar Sahib,PB
kupwara,JK_Kupwara,JK
shahdol,MP_Shahdol,MP
peddapalli,TG_Peddapalli,TG
dang,GJ_Dang,GJ
nilgiris,TN_Nilgiris,TN
south goa,GA_South Goa,GA
palghar,MH_Palghar,MH
jayashankar bhupalapally,TG_Jayashankar Bhupalapally,TG
kannauj,UP_Kannauj,UP
lunglei,MZ_Lunglei,MZ
namakkal,TN_Namakkal,TN
sambhal,UP_Sambhal,UP
chamba,HP_Chamba,HP
bikaner,RJ_Bikaner,RJ
zunheboto,NL_Zunheboto,NL
saraikela-kharsawan,JH_Saraikela-Kharsawan,JH
kokrajhar,AS_Kokrajhar,AS
anuppur,MP_Anuppur,MP
bulandshahr,UP_Bulandshahr,UP
karbi anglong,AS_Karbi Anglong,AS
nalbari,AS_Nalbari,AS
churu,RJ_Churu,RJ
siwan,BR_Siwan,BR
vikarabad,TG_Vikarabad,TG
balaghat,MP_Balaghat,MP
mumbai,MH_Mumbai,MH
diu,DN_Diu,DN
west tripura,TR_West Tripura,TR
kandhamal,OR_Kandhamal,OR
nagapattinam,TN_Nagapattinam,TN
dakshina kannada,KA_Dakshina Kannada,KA
faridabad,HR_Faridabad,HR
barnala,PB_Barnala,PB
komaram bheem,TG_Komaram Bheem,TG
arwal,BR_Arwal,BR
korba,CT_Korba,CT
s.p.s. nellore,AP_S.P.S. Nellore,AP
koriya,CT_Koriya,CT
serchhip,MZ_Serchhip,MZ
sabarkantha,GJ_Sabarkantha,GJ
malappuram,KL_Malappuram,KL
gopalganj,BR_Gopalganj,BR
ambala,HR_Ambala,HR
chandrapur,MH_Chandrapur,MH
amritsar,PB_Amritsar,PB
sangareddy,TG_Sangareddy,TG
baran,RJ_Baran,RJ
mahisagar,GJ_Mahisagar,GJ
jalore,RJ_Jalore,RJ
auraiya,UP_Auraiya,UP
rae bareli,UP_Rae Bareli,UP
khammam,TG_Khammam,TG
west godavari,AP_West Godavari,AP
dhenkanal,OR_Dhenkanal,OR
rajanna sircilla,TG_Rajanna Sircilla,TG
kolasib,MZ_Kolasib,MZ
azamgarh,UP_Azamgarh,UP
sitamarhi,BR_Sitamarhi,BR
nashik,MH_Nashik,MH
samba,JK_Samba,JK
chhota udaipur,GJ_Chhota Udaipur,GJ
etah,UP_Etah,UP
vidisha,MP_Vidisha,MP
nawada,BR_Nawada,BR
kurnool,AP_Kurnool,AP
erode,TN_Erode,TN
purba bardhaman,WB_Purba Bardhaman,WB
bilaspur,CT_Bilaspur,CT
banda,UP_Banda,UP
chittoor,AP_Chittoor,AP
bageshwar,UT_Bageshwar,UT
kangra,HP_Kangra,HP
sonipat,HR_Sonipat,HR
ratnagiri,MH_Ratnagiri,MH
east siang,AR_East Siang,AR
kra daadi,AR_Kra Daadi,AR
suryapet,TG_Suryapet,TG
hisar,HR_Hisar,HR
sonbhadra,UP_Sonbhadra,UP
nalanda,BR_Nalanda,BR
hoshangabad,MP_Hoshangabad,MP
kamjong,MN_Kamjong,MN
cuddalore,TN_Cuddalore,TN
chittorgarh,RJ_Chittorgarh,RJ
khordha,OR_Khordha,OR
jaunpur,UP_Jaunpur,UP
yadadri bhuvanagiri,TG_Yadadri Bhuvanagiri,TG
siddharthnagar,UP_Siddharthnagar,UP
nagarkurnool,TG_Nagarkurnool,TG
west champaran,BR_West Champaran,BR
tinsukia,AS_Tinsukia,AS
kinnaur,HP_Kinnaur,HP
mandi,HP_Mandi,HP
sawai madhopur,RJ_Sawai Madhopur,RJ
nagaur,RJ_Nagaur,RJ
chhindwara,MP_Chhindwara,MP
cachar,AS_Cachar,AS
patan,GJ_Patan,GJ
kapurthala,PB_Kapurthala,PB
rajkot,GJ_Rajkot,GJ
sivaganga,TN_Sivaganga,TN
leh,LA_Leh,LA
khandwa,MP_Khandwa,MP
sambalpur,OR_Sambalpur,OR
east garo hills,ML_East Garo Hills,ML
thrissur,KL_Thrissur,KL
east champaran,BR_East Champaran,BR
nuh,HR_Nuh,HR
sultanpur,UP_Sultanpur,UP
purba medinipur,WB_Purba Medinipur,WB
panchmahal,GJ_Panchmahal,GJ
gandhinagar,GJ_Gandhinagar,GJ
porbandar,GJ_Porbandar,GJ
jagtial,TG_Jagtial,TG
jorhat,AS_Jorhat,AS
surendranagar,GJ_Surendranagar,GJ
mau,UP_Mau,UP
jhabua,MP_Jhabua,MP
buldhana,MH_Buldhana,MH
churachandpur,MN_Churachandpur,MN
banaskantha,GJ_Banaskantha,GJ
solan,HP_Solan,HP
agra,UP_Agra,UP
lohardaga,JH_Lohardaga,JH
narayanpur,CT_Narayanpur,CT
bhojpur,BR_Bhojpur,BR
surguja,CT_Surguja,CT
burhanpur,MP_Burhanpur,MP
upper siang,AR_Upper Siang,AR
ratlam,MP_Ratlam,MP
sheopur,MP_Sheopur,MP
shajapur,MP_Shajapur,MP
nizamabad,TG_Nizamabad,TG
baloda bazar,CT_Baloda Bazar,CT
kaithal,HR_Kaithal,HR
palamu,JH_Palamu,JH
ukhrul,MN_Ukhrul,MN
kannur,KL_Kannur,KL
sirohi,RJ_Sirohi,RJ
golaghat,AS_Golaghat,AS
ramgarh,JH_Ramgarh,JH
kakching,MN_Kakching,MN
bharuch,GJ_Bharuch,GJ
kota,RJ_Kota,RJ
tawang,AR_Tawang,AR
lalitpur,UP_Lalitpur,UP
lakhimpur kheri,UP_Lakhimpur Kheri,UP
haveri,KA_Haveri,KA
indore,MP_Indore,MP
bahraich,UP_Bahraich,UP
gaya,BR_Gaya,BR
ballia,UP_Ballia,UP
majuli,AS_Majuli,AS
mandla,MP_Mandla,MP
kargil,LA_Kargil,LA
pakke kessang,AR_Pakke Kessang,AR
champhai,MZ_Champhai,MZ
