Districtid,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,month13,month14,month15,month16,month17
UP_Lakhimpur Kheri,0,0,0,0,0,0,4,0,18,26,20,7,9,10,20,5,32
UP_Lalitpur,0,0,0,0,0,0,0,1,0,0,2,0,1,-1,4,4,30
UP_Lucknow,0,0,0,0,0,0,222,28,37,38,45,75,122,224,252,298,873
UP_Mahoba,0,0,0,0,0,0,2,0,1,1,8,2,17,22,2,9,11
UP_Mainpuri,0,0,0,0,0,0,7,5,4,9,14,38,45,66,53,20,19
UP_Mathura,0,0,0,0,0,0,22,30,-3,11,16,23,58,88,69,82,107
UP_Mau,0,0,0,0,0,0,1,0,2,11,9,34,7,11,31,56,108
UP_Meerut,0,0,0,0,0,0,113,107,102,40,62,78,112,172,179,178,315
UP_Mirzapur,0,0,0,0,0,0,3,1,10,16,4,2,5,19,19,49,103
UP_Moradabad,0,0,0,0,0,0,113,13,26,29,42,30,41,65,66,84,175
UP_Muzaffarnagar,0,0,0,0,0,0,23,3,0,14,34,30,60,72,30,44,97
UP_Pilibhit,0,0,0,0,0,0,3,1,2,35,5,4,32,20,19,22,36
UP_Prayagraj,0,0,0,0,0,0,9,9,18,31,24,31,23,38,76,92,205
UP_Rae Bareli,0,0,0,0,0,0,44,3,4,11,10,2,33,14,7,16,30
UP_Rampur,0,0,0,0,0,0,25,3,29,79,36,25,59,56,36,28,52
UP_Saharanpur,0,0,0,0,0,0,202,1,16,8,30,9,17,65,30,62,105
UP_Sambhal,0,0,0,0,0,0,19,8,18,16,27,46,43,77,67,59,103
UP_Sant Kabir Nagar,0,0,0,0,0,0,27,3,7,23,19,57,22,24,34,55,97
UP_Shahjahanpur,0,0,0,0,0,0,1,0,2,14,3,19,25,27,31,17,31
UP_Shamli,0,0,0,0,0,0,27,4,2,6,5,6,6,28,42,43,22
UP_Siddharthnagar,0,0,0,0,0,0,2,17,21,37,30,36,28,16,49,36,28
UP_Sitapur,0,0,0,0,0,0,20,2,4,13,2,3,2,6,11,2,27
UP_Sonbhadra,0,0,0,0,0,0,0,0,1,2,5,6,16,-1,5,11,31
UP_Sultanpur,0,0,0,0,0,0,3,1,16,40,20,20,14,55,18,15,25
UP_Unnao,0,0,0,0,0,0,3,1,2,16,11,14,34,34,41,42,105
UP_Varanasi,0,0,0,0,0,0,61,21,14,40,39,62,41,53,98,181,209
UT_Almora,0,0,0,0,0,0,1,0,1,5,38,28,1,63,39,16,9
UT_Bageshwar,0,0,0,0,0,0,0,0,0,6,10,11,13,19,22,11,1
UT_Chamoli,0,0,0,0,0,0,0,0,0,1,10,22,10,11,17,5,1
UT_Champawat,0,0,0,0,0,0,0,0,0,7,1,37,3,0,5,6,6
UT_Dehradun,0,0,0,0,0,0,33,1,10,19,122,173,103,139,67,75,94
UT_Haridwar,0,0,0,0,0,0,7,0,0,7,37,57,96,55,54,5,29
UT_Nainital,0,0,0,0,0,0,10,0,5,70,144,92,13,32,88,76,34
UT_Pauri Garhwal,0,0,0,0,0,0,1,0,1,4,22,15,19,33,46,3,16
UT_Pithoragarh,0,0,0,0,0,0,0,0,0,2,19,23,7,13,1,2,3
UT_Rudraprayag,0,0,0,0,0,0,0,0,0,3,2,17,21,13,9,1,1
UT_Tehri Garhwal,0,0,0,0,0,0,0,0,0,6,68,44,164,88,42,9,8
UT_Udham Singh Nagar,0,0,0,0,0,0,7,6,7,14,28,26,25,24,92,77,110
UT_Uttarkashi,0,0,0,0,0,0,0,1,0,9,4,9,7,26,8,16,12
WB_Alipurduar,0,0,0,0,0,0,0,0,0,0,4,8,32,105,30,8,7
WB_Bankura,0,0,0,0,0,0,0,0,0,1,27,76,75,15,43,24,43
WB_Birbhum,0,0,0,0,0,0,0,6,1,11,85,91,49,37,16,15,19
WB_Dakshin Dinajpur,0,0,0,0,0,0,0,0,0,4,2,37,22,22,93,43,81
WB_Darjeeling,0,0,0,0,0,0,4,3,0,3,11,62,105,80,153,156,259
WB_Howrah,0,0,0,0,0,0,79,291,183,198,231,400,300,358,441,529,815
WB_Jalpaiguri,0,0,0,0,0,0,5,-1,0,0,9,16,161,95,44,59,120
WB_Jhargram,0,0,0,0,0,0,0,0,3,0,3,0,5,8,0,0,6
WB_Kalimpong,0,0,0,0,0,0,7,0,0,0,0,4,29,10,2,4,0
WB_Kolkata,0,0,0,0,0,0,184,727,354,348,440,631,830,1013,875,1462,2290
WB_Malda,0,0,0,0,0,0,0,7,18,25,87,68,50,130,148,247,316
WB_Murshidabad,0,0,0,0,0,0,2,-1,4,30,48,37,42,23,37,48,69
WB_Nadia,0,0,0,0,0,0,6,3,3,13,48,57,56,75,34,44,70
WB_North 24 Parganas,0,0,0,0,0,0,47,196,93,109,230,360,458,411,641,1001,1726
WB_Paschim Bardhaman,0,0,0,0,0,0,7,5,5,4,27,19,35,18,13,24,43
WB_Paschim Medinipur,0,0,0,0,0,0,0,17,2,7,7,60,201,35,26,40,70
WB_Purba Bardhaman,0,0,0,0,0,0,1,4,7,13,53,44,9,18,14,20,36
WB_Purba Medinipur,0,0,0,0,0,0,22,22,7,1,44,43,60,45,62,78,111
WB_South 24 Parganas,0,0,0,0,0,0,12,45,26,37,64,67,160,203,308,429,716
WB_Uttar Dinajpur,0,0,0,0,0,0,0,0,5,15,134,50,11,17,47,39,64
